,Section,Header,Date,Title,Information
10,"Abroad, Ghanaians","Diasporia News of Friday, 27 May 2022",2022-05-27,GCAO opens Community Resource Hub in Toronto,"The new Ghana Consul General Mr. Hakim Bolugun in Toronto on Saturday, May 21, 2022, cut a sod for the opening of a community Resource Hub at 65 Mayall in Toronto. 

The Resource Hub was established by the Ghanaian Canadian Association of Ontario (GCAO). It is to serve the needs of the Ghanaian Canadian community and others through social, cultural, and educational programs.

Hon. Bolugun used the occasion to praise the leadership of the GCAO for their foresight and efforts to establish such a community resource hub for children, youth, adults, and seniors in the Ghanaian Canadian community. 

He then promised to make available to the hub immigration resources relevant to friends of Ghana and new Ghanaians to Toronto. 

Earlier, 3 kids from the GCAO Homework Club, namely Elijah Mensah, Joana Oppong, and Kayla Awuku-Larbi had read the land acknowledgments to the delight of the crowd gathered.


Group of Ghanaians and friends in the Greater Toronto Area at the function 


Some kids from the GCAO Homework Club enjoying their section at the Resource Hub"
11,"Abroad, Ghanaians","Diasporia News of Thursday, 26 May 2022",2022-05-26,Ghanaians are complaining of economic hardship; I’m not coming back - SA-based Ghanaian,"South Africa-based Ghanaian Stella Arthur has mentioned that she has no plans of settling in Ghana until she sets up a stable business to support her children. 

In a chat on SVTV Africa, Stella indicated that her father pressed her to return after ten years of working in South Africa, but what she hears from family living in Ghana is daunting. 

“As a single mother, I can’t come back to Ghana without a proper business. I will find myself wanting, but I can send money to them often if I stay and work here. All I hear from Ghanaians are complaints about economic hardships,” she said. 

The single mother of three added that she hopes to travel to another country for work. According to Stella, she will do all she can to cater to the needs of her children because their father has deserted them. 

Moreover, Stella stated that she would not discourage anyone from travelling abroad to work because she may have suffered, but the others might not. 

Speaking on life in South Africa, Stella disclosed that almost all the Ghanaians living there are hairstylists. She also shared her thoughts on xenophobic attacks. 

“They announce attacks often, but it is normally against Nigerians. South Africans say the Nigerians sell drugs and take over their jobs,” she added.

Prisons interview

Watch an episode of The Lowdown below:

"
12,"Abroad, Ghanaians","Diasporia News of Thursday, 26 May 2022",2022-05-26,Project Management Consultant selected for 2022 Mandela Washington Fellowship,"The US Department of State has named Mr. Daniel Adama, a Project Management Consultant as one of 32 Young Ghanaian Leaders to participate in the 2022 Mandela Washington Fellow in the United States.

On Friday, May 20, 2022, the US Embassy in Ghana issued a statement announcing the selection of 32 young Ghanaian leaders for the 2022 Mandela Washington Fellowship. Portions of the statement read: “The select group are leaders in their professions and communities and were recruited from a candidate pool of nearly 4,000 Ghanaian applicants through a rigorous, competitive process.”

The selected persons “will have the opportunity to hone their skills at a U.S. higher education institution with support for further professional development after they return to their home countries,” the statement said.

Among those listed is Mr. Daniel Adama. Mr. Daniel Adama is the Director of Don Musso Educational Village in Odumase, Sunyani. He is also a Certified Project Management Professional with the Institute of Project Management Professionals Ghana. 

Daniel is an Accredited Project Manager with the International Organization for Project Management and has over ten years of experience working with projects in education.

He is also a professional teacher with a Bachelor's Degree in Education and an MPhil. in Curriculum Development both from the Catholic University of Ghana. He is the Founder and Executive Director of Rural Education Support Trust (REST Ghana), a Non-Governmental Organization that is strongly advocating for equal access to education for rural communities and has been involved in several projects to improve education for rural communities and the underprivileged in Ghana. 

Through his NGO’s advocacy, he has secured scholarships for more than ten (10) students to study in several tertiary institutions across Ghana.

He is also a youth development coach (animator) with the Salesians of Don Bosco and a seasoned volunteer for Summer Camps. He has vast experience with youth training and development. He is a mentor to many young people and an advocate for youth development.

Mr. Adama is also the co-founder of Nepdan Company Limited, a registered limited liability company specialized in Media Production and General Printing that operates in the Sunyani West Municipality. 

He looks forward to developing himself and networking to enhance his advocacy in Education through the fellowship and to grow his NGO to reach many rural communities in Ghana and beyond."
13,"Abroad, Ghanaians","Diasporia News of Thursday, 26 May 2022",2022-05-26,Ghanaian female doctor receives award in Public Health from Harvard,"Across several ethnic groups in Ghana, women go through a set of rites and rituals as part of the funeral rites of their dead husbands. The practice of widowhood rites is particularly very onerous on women. 

Among women living in and around Bolgatanga, in the Upper East Region of Ghana, the occurrence of widowhood rites is rife. The project aimed to learn about women’s experiences of widowhood rites, including the effects on their mental and physical well-being, and re-tell their stories in animated videos to serve as tools for advocacy. 

The study was a mixed-methods study carried out in the Bolgatanga Municipal district in the Upper East Region of Ghana. Every widow interviewed reported at least two mental health symptoms, with the majority having symptoms suggestive of post-traumatic stress disorder. 

Several participants also reported impacts on their physical health, including sexually transmitted infections from sexual abuse during the performance of the rites. 

The broad themes deduced from the interviews and highlighted for creating the animations were: mental health effects; widow victimization; economic hardship engendered by property repossession; food insecurity of widows and their families; and sexual exploitation of these vulnerable women. 

Several of the different components of these rites constitute gender-based violence and must be modified or eliminated to protect the dignity of women in the communities in this region. Storytelling is the first step toward this change.

MOST REWARDING PART OF THE FIELD EXPERIENCE

""For me, the most rewarding aspects of my experience were the conversations I had with the women in the field. Even though conversations around violence and abuse are usually difficult ones to have, the widows I interviewed made it so easy. The conversations were thoughtful, thought-provoking, and had such depth that I came away with so many nuggets of wisdom,"" Sumbawiera said.

ADVICE FOR STUDENTS DOING WORK IN THE FIELD

""Very often, the people we seek to help know the solutions to their problems more than we ever would be able to appreciate. It is important to take a step back so they can step forward and reveal to us what they really need,"" she added."
14,"Abroad, Ghanaians","Diasporia News of Wednesday, 25 May 2022",2022-05-25,PFD holds maiden seminar in Southern Norway,"Passion for Difference (PFD), a not-for-profit organisation based in Bergen, Norway, has held its maiden public seminar in Kristiansand, Agder, for immigrant parents, youth, and children living in the southern part of the country.

This is to empower multicultural parents in Norway to better their lots to excel ineffective parenting and childcare and also to help immigrant youth & children to integrate into the Norwegian society.

The seminar was attended by immigrants and international students who currently live in Norway but are coming from different cultural backgrounds namely, Armenia, Cameron, Ethiopia, Ghana, Nepal, Pakistan, and Zambia.

A delegation from PFD Headquarters, Gifty Ohenewaa Nordbø (Founder) and Eric Amankwa (Board Vice Chairman) also attended the seminar to spice up the occasion.

The seminar was on the theme: “Impact of COVID-19 on parenting and childcare & reopening of society - with focus on immigrant parents, youth and children” as participants also enjoyed the pride of place to share their experiences on integration and diversity.

Collaborations

The PFD Project Leader for Kristiansand Office, Mr. Kyei Boateng said the seminar was the first project of the organisation which also needed some collaborations from different organisations to succeed.

He said COVID-19 as a global pandemic had been a closer enemy in recent years and that as a menace, it had impacted parenting and child care and that PFD was concerned to get some information from immigrant parents, and children and possibly use the information to help them in the future after evaluation.

However, for collaboration purposes, he mentioned Edru Livsstil DNT, and the Ghana Union of Norway, Agder as the major collaborators ably assisted by the Kristiansand Kommune and Batteriet Sør.


While Daniel Haraldsson Nilsen who represented Edru Livsstil entreated participants at the seminar to live a sober lifestyle, especially alcohol-free life; Stephen Zamore (Ph.D.) as the immediate past President of the Ghana Union in Agder pledged support to PFD saying, the union had members as parents and will-be-parents who needed a lot of information to properly understand parenting and childcare in the Norwegian context.

Kim Henrik Gronert as the Advisor for Intercultural Dialogue at the Kristiansand Kommune entreated the participants to culturally prioritise the study of the Norwegian language (Norsk) as they integrate into the Norwegian society, stressing that: “If you really want to live and remain in Norway for a long time, then learning Norsk is a MUST” and respect the rights of the minorities, especially the LGBTQ+ community.

He added that immigrants in Kristiansand represented about 160 countries with Somalia, Ethiopia, and Sudan leading the number of immigrants from Africa.

Experiences on Integration, COVID-19

Participants from Armenia, Ethiopia, Ghana, Nepal shared their life experiences on how they were able to integrate into the Norwegian Society comparing integration levels during the COVID-19 restriction era and now that society reopens from corona restrictions as youth and as parents.

Founder of PFD, Mrs. Ohenewaa Nordbø shared her personal experience recalling what stimulated the formation of the organisation and explained the three communication models of the PFD as relevant pillars to the PFD.

She noted that Norway as a multicultural society has a lot of good opportunities that immigrants could grasp to better their lives,  advising the participants that as they come from diverse cultural backgrounds, they need to fully understand the Norwegian context to be able to fully enjoy their living."
15,"Abroad, Ghanaians","Diasporia News of Wednesday, 25 May 2022",2022-05-25,Alan's camp wins NPP UK branch executive elections,"As President Nana Addo Dankwa Akufo-Addo's administration comes to an end, some members of the governing NPP have made their intentions known to succeed the President and break the eight-year rule under the 1992 constitution.   

 Some NPP loyalists in the diaspora have publicly shown support for one of the two contenders, Alan John Kwadwo Kyerematen.  

In a recent party election held on Sunday, May 22, 2022, some members believed to be in the camp of the Trade and Industry Minister won most of the Executive positions of the party in the United Kingdom (UK).

Speaking to Issahaku Kotomah, who witnessed the elections in London, he stated that members believed to be affiliated with Alan Kyerematen won seven out of the 10 positions contested. 

""Unfortunately, my good old friend, Andrews Osei Owusu lost the chairmanship, but,  all the members of the aspiring chairman won their respective positions,"" he said.

At the end of the contest, Mr Kingsley Adumattah Agyapong (Wofa Kay) and Alex Mensah emerged as Chairman and First Vice Chairman respectively.

Other elected executives are Ibrahim Abdul Mumumi (2nd Vice-Chairman), Otuo Acheampong (Branch Secretary), Charles Asmah (Treasurer) and Patricia Achiaa Boakye (Women Organiser).

The rest are Richmond Kwame Boateng (Branch Organiser), Ike Prince Asante (Youth Organiser) and Issah Ayumah (Nasara Coordinator)."
16,"Abroad, Ghanaians","Diasporia News of Tuesday, 24 May 2022",2022-05-24,"There are still trustworthy Ghanaians to work with, not all are dishonest - US-based women shares","US-based Ghanaian Adwoa Serwaa has mentioned that Ghanaians abroad must find trustworthy Ghanaians to work with because there are honest people in Ghana who are ethical in their work. 

In a chat on SVTV Africa with DJ Nyaami, Adwoa shared an experience working with a Ghanaian contractor living in Ghana. According to her, the contractor has been very truthful, and his honesty has won him several business contracts from her friends in the USA. 

“Doing business in Ghana is all about finding a trustworthy person. Fortunately for me, I met a contractor, and because of his honesty, I've introduced him to many people here. 

If you find an honest person, everything you do back home becomes a success. Most of us want to start businesses in Ghana, but sometimes they make it hard. Fortunately for me, I have honest people to take care of the business without any glitches,” she stated.

Speaking on life in the US, Serwaa advised young Ghanaians abroad to invest their money in education. According to her, life in the US is better off as literate than an illiterate. 

“Some people come abroad for fashion. We spend our money on expensive clothes, parties and all. Think about the future. Will you be able to do hard labor the rest of your life,” Adwoa quizzed."
17,"Abroad, Ghanaians","Diasporia News of Tuesday, 24 May 2022",2022-05-24,"Meet US-based nursing practitioner, gospel musician who hopes to establish a clinic in Ghana","Serwaa Kyei is a Ghanaian doctor nursing practitioner and gospel musician based in the US with plans of setting up a clinic in Ghana. 

Speaking on Daily Hustle Worldwide, Serwaa indicated that just as a medical doctor is a doctor of medicine, she is a doctor of nursing. Doctor of Nursing Practitioner (DNP) is clinically the highest level of nursing. 

“As a DNP, I have my patients. I diagnose, treat, and prescribe medicines to patients just as a doctor would. I use evidence from research to look at different situations in healthcare to make things better,” Serwaa said.

She mentioned that nursing has always been a passion. Mrs. Kyei added that her decision to get the highest degree in nursing was inspired by her dream to move back to her home country, Ghana, and operate fully.

“I’m hoping to set up my clinic soon. The dream was to set up a clinic in Ghana. It is why I got to the level of DNP,” she added. 

According to Mrs. Kyei, she wanted to study theology to become a pastor at a point, but her passion for nursing grew stronger. Serwaa did not shun her love for God’s work after becoming a DNP and began music in 2014. 

“I had written a lot of songs. It began as gospel poems and I wanted to give it out for someone to sing, but I was advised it record it myself. I wanted to give up because of the response I was getting, but I couldn’t stop.”

Serwaa Kyei has three nominations for this year’s Ghana Music Award USA; US-based music video, US-based gospel song, and US-based female vocalist of the year. 

She is also a wife and mother of two."
18,"Abroad, Ghanaians","Diasporia News of Tuesday, 24 May 2022",2022-05-24,NPP UK branch elects new executives,"The United Kingdom branch of the governing New Patriotic Party (NPP) has held executive elections to choose new leaders to steer its affairs for the next four years.

The elections, which were held on Sunday, 22 May, 2022, had Kingsley Adumattah Agyapong (Wofa K) elected as Chairman.

Other elected executives are;

Alex Mensah (1st Vice Chairman)
Ibrahim Abdul- Mumuni (2nd Vice Chairman)

Otuo Acheampong (Branch Secretary)
Charles Asmah (Treasurer)
Patricia Achiaa Boakye (Daakyehemaa)- (Women Organiser),
Richmond Kwame Boateng (Branch Organiser),
Ike Prince Asante (Youth Organiser) and,
Issah Ayumah  (Nasara Coordinator)

The UK branch of the party is made up of London and all members from various chapters which are semi-autonomous in their decision-making and resource mobilization.

All the chapters held their elections peacefully before the general branch elections.

The new chairman, Kingsley Adumattah Agyapong, takes over from Derrick Kwaku Nkansah, whose tenure has expired.

The leadership of the party said it was hopeful that the new leaders will help the mother party in Ghana as well as the government to achieve all of its election 2020 promises, and to break the 8."
19,"Abroad, Ghanaians","Diasporia News of Monday, 23 May 2022",2022-05-23,"I lost all my investments in Ghana, moved to Germany out of frustration - Man reveals","Germany-based Ghanaian, Cosmos Darko has revealed that he made over GH¢100,000 as a Galamsey operator. However, he lost it soon after military personnel was dispatched to the mining areas in 2017.

In a chat on SVTV Africa, Cosmos mentioned that he went broke and had to sell off his machines to sponsor his journey to Europe. Moreover, Cosmos explained that he could not work anywhere in Ghana, hence his decision to travel. 

“The highest amount I made at the time was GH¢100,000. I couldn’t sleep till I deposited it at the bank. At the time, GH¢100,000 was nothing to galamseyers. Some had millions of cedis. Eventually, the soldiers came to destroy our machines. That was the end of me,” he said.

According to Cosmos, they invested a large sum of the money into machines. He added that he had rented excavators and pumping machines worth over GH¢60,000. 

“Someone might think I got all this money and lost it. You can’t put a small amount of money into a gold business. One excavator costs GHs300,000, and you would have to rent it for the job. I needed to invest in it and gain profit,” he told DJ Nyaami. 

Speaking about his thoughts on destroying water bodies, Cosmos mentioned that “we had to do was dig a hole and wash the gold in that and not the rivers, but the Chinese and the leaders were already destroying the rivers. As youths in the community, we did not want to look away while foreigners took away our gold.”"
